Week,Day,Date,Day Name,Time,Home Team,Away Team,Home Score,Away Score,Status,Game ID,ID,Player,PTS,MP,PS,R,A,B,S
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1626192,Pat Connaughton,1,8,0,1,0,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,202695,Kawhi Leonard,66,32,45,5,5,0,2
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1627884,Derrick Jones Jr.,33,29,12,4,1,1,4
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,201572,Brook Lopez,9,24,3,3,0,1,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1627739,Kris Dunn,31,24,5,2,6,0,4
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1629636,Darius Garland,40,23,21,1,6,0,2
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1631097,Bennedict Mathurin,33,25,22,2,3,0,1
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1641757,Jordan Miller,34,29,14,3,7,0,1
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1630543,Isaiah Jackson,30,18,9,6,3,2,1
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,201587,Nicolas Batum,6,12,6,0,0,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1641807,Norchad Omier,11,6,6,0,1,0,1
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1642951,Sean Pedulla,13,6,6,1,3,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1642920,Kobe Sanders,2,6,2,0,0,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1642353,Cam Christie,6,6,2,2,1,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1630183,Jaden McDaniels,19,31,11,2,3,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,203944,Julius Randle,28,28,11,6,4,0,1
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,203497,Rudy Gobert,22,26,9,5,4,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1630162,Anthony Edwards,51,35,36,2,5,0,1
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1628978,Donte DiVincenzo,17,25,6,4,2,0,1
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1629675,Naz Reid,21,26,18,3,0,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1630538,Bones Hyland,21,16,10,0,4,0,1
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,203937,Kyle Anderson,15,17,5,1,3,0,1
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1630545,Terrence Shannon Jr.,11,12,4,1,3,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1641763,Julian Phillips,4,6,3,1,0,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,204060,Joe Ingles,8,6,2,0,3,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1641740,Jaylen Clark,13,6,11,0,1,0,0
21,3,12/03/2026,Thursday,02:30,LAC,MIN,153,128,Final,22500952,1642911,Rocco Zikarsky,8,6,2,3,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
